nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,6.0,6.0,earthquake,3942,5,0.11512136459350586,0.9923202991485596,True,v2,original_ranking,8,"[(3, 0), (2, 0), (4, 0), (1, 3), (1, 0), (2, 3), (2, 4), (1, 4)]",0,1.6990399360656738,32.39452594792108
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,2778,5,0.11512136459350586,0.9746713638305664,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (1, 0), (3, 2), (4, 3), (1, 3), (1, 2), (4, 1)]",0,1.6997010707855225,31.24721588789454
6,0.3333,1.0,0.3333,0.6667,1.0,0.8,2.0,0.0,5.0,earthquake,2804,5,0.11512136459350586,0.9779510498046875,True,v2,original_ranking,6,"[(2, 4), (1, 4), (2, 0), (1, 0), (4, 0), (0, 3)]",0,1.2921535968780518,37.37594297517991
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,2145,5,0.11512136459350586,0.9804055690765381,True,v2,original_ranking,9,"[(3, 0), (2, 0), (1, 0), (1, 3), (4, 3), (4, 0), (4, 2), (1, 2), (1, 4)]",0,1.7298438549041748,33.479374717633796
6,0.3333,1.0,0.3333,0.6667,1.0,0.8,2.0,0.0,5.0,earthquake,150,5,0.11512136459350586,0.9791600704193115,True,v2,original_ranking,6,"[(3, 0), (2, 0), (2, 3), (1, 3), (1, 0), (0, 4)]",0,1.2395155429840088,35.69451960410995
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,8823,5,0.11512136459350586,0.9831516742706299,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (3, 2), (1, 2), (1, 0), (4, 3), (1, 3), (4, 1)]",0,1.6999921798706055,31.12736673627709
8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,3.0,12.0,earthquake,4669,5,0.11512136459350586,0.9924459457397461,True,v2,original_ranking,8,"[(4, 0), (1, 0), (2, 0), (3, 0), (1, 3), (1, 4), (2, 4), (4, 3)]",0,1.5781457424163818,31.942034537051924
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,11.0,16.0,earthquake,6131,5,0.11512136459350586,0.9873559474945068,True,v2,original_ranking,8,"[(4, 0), (2, 0), (1, 0), (3, 0), (4, 1), (2, 3), (1, 3), (2, 4)]",0,1.6019303798675537,30.370854597331586
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,2617,5,0.11512136459350586,0.9888055324554443,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (1, 0), (4, 3), (1, 3), (3, 2), (1, 2), (1, 4)]",0,1.5987083911895752,30.060939748648998
8,0.75,0.5,1.0,0.25,0.5,0.3333,7.0,4.0,19.0,earthquake,7166,5,0.11512136459350586,0.9502253532409668,True,v2,original_ranking,8,"[(4, 3), (1, 3), (4, 1), (4, 0), (3, 0), (2, 4), (2, 1), (2, 0)]",0,1.3410320281982422,33.4207248821667
