nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,9096,5,12.206302881240845,0.9174172878265381,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.3338143825531006,20.69310375177817
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,9096,5,12.206302881240845,0.9174172878265381,True,stand_alone_gradual,refined_ranking,0,[],0,0.5524966716766357,4.355688763538946
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,3533,5,12.206302881240845,0.9180910587310791,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (2, 0)]",0,1.3445713520050049,20.78273446897844
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,3533,5,12.206302881240845,0.9180910587310791,True,stand_alone_gradual,refined_ranking,0,[],0,0.5651915073394775,4.732983223727042
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,4125,5,12.206302881240845,0.935621976852417,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.3236286640167236,20.214595183166242
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,4125,5,12.206302881240845,0.935621976852417,True,stand_alone_gradual,refined_ranking,0,[],0,0.546029806137085,4.503340334518964
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,3094,5,12.206302881240845,0.925482988357544,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (2, 0), (3, 0), (1, 0)]",0,1.34019136428833,21.142866668430276
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,3094,5,12.206302881240845,0.925482988357544,True,stand_alone_gradual,refined_ranking,0,[],0,0.5656733512878418,4.833617681244227
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,6398,5,12.206302881240845,0.920109748840332,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (1, 0), (3, 0)]",0,0.6161997318267822,12.20330404455151
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,6398,5,12.206302881240845,0.920109748840332,True,stand_alone_gradual,refined_ranking,0,[],0,0.38721680641174316,3.905296175531791
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,6.0,earthquake,7816,5,12.779038667678833,0.9406521320343018,True,stand_alone_gradual,original_ranking,8,"[(4, 0), (2, 0), (3, 0), (1, 0), (1, 3), (2, 4), (1, 4), (4, 3)]",0,1.1410393714904785,31.08872273438013
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,7816,5,12.779038667678833,0.9406521320343018,True,stand_alone_gradual,refined_ranking,0,[],0,0.3177833557128906,2.091742127626384
7,0.5714,0.75,0.6667,0.4286,0.75,0.5455,4.0,3.0,earthquake,3578,5,12.779038667678833,0.9377708435058594,True,stand_alone_gradual,original_ranking,7,"[(2, 3), (1, 3), (2, 0), (1, 0), (1, 4), (3, 0), (0, 4)]",0,1.1429657936096191,35.81492788947156
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,3578,5,12.779038667678833,0.9377708435058594,True,stand_alone_gradual,refined_ranking,0,[],0,0.3111095428466797,2.498499826478463
7,0.8571,0.25,1.0,0.1429,0.25,0.1818,7.0,7.0,earthquake,2656,5,12.779038667678833,0.9263877868652344,True,stand_alone_gradual,original_ranking,7,"[(1, 3), (4, 3), (4, 0), (3, 0), (2, 4), (2, 0), (1, 4)]",0,0.975548505783081,34.75533570012258
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,2656,5,12.779038667678833,0.9263877868652344,True,stand_alone_gradual,refined_ranking,0,[],0,0.2792549133300781,2.6341745988715277
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,6.0,earthquake,2688,5,12.779038667678833,0.9339718818664551,True,stand_alone_gradual,original_ranking,8,"[(2, 0), (1, 0), (4, 0), (3, 0), (1, 3), (4, 3), (1, 4), (2, 4)]",0,1.5388238430023193,31.578209554793165
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,2688,5,12.779038667678833,0.9339718818664551,True,stand_alone_gradual,refined_ranking,0,[],0,0.42202043533325195,1.9507145247396918
9,0.7778,0.5,1.1667,0.2222,0.5,0.3077,7.0,11.0,earthquake,2494,5,12.779038667678833,0.9412581920623779,True,stand_alone_gradual,original_ranking,9,"[(4, 3), (1, 3), (1, 0), (3, 0), (2, 0), (3, 2), (1, 4), (4, 2), (4, 0)]",0,1.66477370262146,31.829542488695758
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,2494,5,12.779038667678833,0.9412581920623779,True,stand_alone_gradual,refined_ranking,0,[],0,0.4765620231628418,2.4677873290954557
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,11.0,earthquake,183,5,12.779038667678833,0.9115471839904785,True,stand_alone_gradual,original_ranking,8,"[(2, 3), (4, 0), (2, 0), (2, 1), (4, 1), (3, 0), (1, 3), (1, 0)]",0,1.275158166885376,30.390411009375697
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,183,5,12.779038667678833,0.9115471839904785,True,stand_alone_gradual,refined_ranking,0,[],0,0.3422682285308838,2.373619310369074
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,6.0,earthquake,7977,5,12.779038667678833,0.9281902313232422,True,stand_alone_gradual,original_ranking,8,"[(3, 0), (1, 0), (4, 0), (2, 0), (2, 4), (1, 3), (2, 3), (3, 4)]",0,1.5470387935638428,31.682264867691213
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,7977,5,12.779038667678833,0.9281902313232422,True,stand_alone_gradual,refined_ranking,0,[],0,0.4262270927429199,2.1405834288781045
7,0.5714,0.75,0.6667,0.4286,0.75,0.5455,4.0,3.0,earthquake,3199,5,12.779038667678833,0.9267728328704834,True,stand_alone_gradual,original_ranking,7,"[(2, 3), (1, 3), (2, 0), (1, 0), (1, 4), (3, 0), (0, 4)]",0,1.1423749923706055,35.816519089521506
0,0.0,0.0,0.0,,0.0,,4.0,10.0,earthquake,3199,5,12.779038667678833,0.9267728328704834,True,stand_alone_gradual,refined_ranking,0,[],0,0.31043052673339844,2.4718560552818736
